,id,name,type,deletedon,lastseenlatitude,lastseenlongitude,showtabssearch,showtabstruck,showtabsbarge,showtabstrain,showtabsmoves,showmenucockpit,showmenugate,showmenudamage,showmenusettings,yard_id,maxjobsvisible,maxjobsactive,showmenutasks,enableallowvesselmoves,enableallowtrainmoves,enableallowtruckmoves,limitpositionsbyrestrictedyardregions,defaultmarker_id
0,551382,Crane 1,CRANE,,55.9562397,-4.7625637,True,False,True,False,False,True,False,False,True,1,250,250,False,True,False,False,False,2352136.0
1,900347,Crane 2,CRANE,,51.5073509,-0.1277583,True,False,True,False,False,True,False,False,True,1,250,250,False,True,False,False,False,2352138.0
2,14068715,Grid Carrier 1,STRADDLECARRIER,,55.9547576,-4.7648315,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
3,14068905,Crane 1 Carrier 1,STRADDLECARRIER,,55.9546969,-4.764823,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
4,14068805,Grid Carrier 2,STRADDLECARRIER,,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
5,551381,26,STRADDLECARRIER,2021-10-15 06:01:59.404581,55.9555348,-4.7635575,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
6,15626213,Crane 2 Carrier 2,STRADDLECARRIER,,55.9550768,-4.765668,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
7,2100439,Stacker ECH 4,REACHSTACKER,,55.9530664,-4.7606451,True,False,False,False,False,True,False,False,True,1,10,10,False,True,False,False,False,
8,15252264,Crane 3 Carrier 2,STRADDLECARRIER,,55.9547217,-4.7648853,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
9,2100442,32,STRADDLECARRIER,2021-10-15 06:01:42.584274,55.9542556,-4.7642879,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
10,551384,31,STRADDLECARRIER,2021-10-15 06:01:44.864091,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
11,15625087,Crane 3 Carrier 4,STRADDLECARRIER,,55.954962,-4.7651104,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
12,15624335,Crane 1 Carrier 4,STRADDLECARRIER,,55.94014392176536,-4.763690240611781,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
13,551385,33,STRADDLECARRIER,2021-10-15 06:01:46.862895,55.9542244,-4.7643963,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
14,551392,28,STRADDLECARRIER,2021-10-15 06:01:49.540051,55.9544564,-4.7637553,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
15,2309448,Crane 3,CRANE,,55.9560093,-4.7618859,True,False,True,False,False,True,False,False,True,1,250,250,False,True,False,False,False,2352141.0
16,15252594,Crane 3 Carrier 3,STRADDLECARRIER,,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
17,15623672,Grid Carrier 4,STRADDLECARRIER,,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
18,551387,35,STRADDLECARRIER,2021-10-15 06:01:51.868904,55.9542244,-4.7643963,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
19,14068933,Crane 1 Carrier 2,STRADDLECARRIER,,55.9554307,-4.7654741,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
20,15625712,Crane 2 Carrier 1,STRADDLECARRIER,,55.954679,-4.7648263,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
21,15626987,Crane 2 Carrier 4,STRADDLECARRIER,,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
22,2309453,Stacker ECH 3,REACHSTACKER,,55.9544366,-4.7639557,True,False,False,False,False,True,False,False,True,1,10,10,False,False,False,False,False,
23,2100444,36,STRADDLECARRIER,2021-10-15 06:01:53.667561,55.9542567,-4.7644044,True,False,False,False,False,True,False,False,True,1,10,3,True,False,False,True,False,
24,551388,37,STRADDLECARRIER,2021-10-15 06:01:55.297095,55.9550877,-4.7652435,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
25,551390,96,STRADDLECARRIER,2021-10-15 06:01:57.038804,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
26,14685958,Crane 3 Carrier 1,STRADDLECARRIER,,55.9558435,-4.7636776,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
27,15626639,Crane 2 Carrier 3,STRADDLECARRIER,,55.9548464,-4.7643996,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
28,551389,38,STRADDLECARRIER,2021-10-15 06:02:02.091655,55.9547152,-4.7645466,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
29,551383,30,STRADDLECARRIER,2021-10-15 06:02:08.507644,55.9547608,-4.7655197,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
30,15654218,Crane 1 BayPlan,CRANE,,51.5073509,-0.1277583,True,False,True,False,False,True,False,False,True,1,250,250,False,True,False,False,False,
31,15653932,Crane 1 Checker,CRANE,,51.5073509,-0.1277583,True,False,False,False,False,True,False,False,True,1,250,250,False,True,False,False,False,
32,14571917,Crane 1 Carrier 3,STRADDLECARRIER,,55.9560804,-4.7627964,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
33,551386,34,STRADDLECARRIER,2021-10-15 06:02:04.258554,55.9542566,-4.7643474,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
34,551391,97,STRADDLECARRIER,2021-10-15 06:02:06.332562,55.9546995,-4.7648008,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
35,15623343,Grid Carrier 3,STRADDLECARRIER,,55.954278,-4.764276,True,False,False,False,False,True,False,False,True,1,10,3,False,False,False,True,False,
